"winner","avg_rating","rating_category","white_bishop_rem","white_knight_rem","white_pawn_rem","white_queen_rem","white_rook_rem","black_bishop_rem","black_knight_rem","black_pawn_rem","black_queen_rem","black_rook_rem"
"white",1247.5,"ClassD","2","1","7","1","2","2","1","7","1","2"
"white",1000,"Novice","1","0","4","0","0","0","0","6","1","1"
"black",1060,"Novice","1","0","2","0","0","0","0","0","0","0"
"black",1086.5,"Novice","2","0","6","1","1","1","0","6","0","1"
"black",1249.5,"ClassD","1","0","4","0","1","0","0","4","0","0"
"black",1247.5,"ClassD","0","0","5","0","0","1","1","4","0","0"
"white",1094.5,"Novice","2","2","6","1","2","2","2","8","1","2"
"white",1053,"Novice","1","0","2","1","0","2","0","5","1","0"
"white",1082.5,"Novice","0","0","0","0","0","0","0","1","0","0"
"white",945.5,"Novice","0","0","0","0","0","0","0","6","1","2"
"black",945.5,"Novice","1","2","5","1","2","1","0","4","1","2"
"black",1223,"ClassD","0","0","5","0","0","0","0","0","0","0"
"black",1071,"Novice","0","0","1","0","1","0","0","0","0","0"
"black",1115,"Novice","1","0","6","1","2","0","0","4","1","2"
"black",1104,"Novice","0","0","4","0","1","0","0","6","0","1"
"draw",1161,"Novice","0","0","0","0","0","0","0","0","0","0"
"black",1126,"Novice","2","0","7","1","1","0","0","2","1","1"
"white",1019,"Novice","1","1","6","1","1","1","2","5","1","1"
"black",1177,"Novice","2","0","5","0","1","1","1","1","0","0"
"white",933,"Novice","0","0","0","0","0","0","0","1","0","0"
"white",929.5,"Novice","1","0","2","0","1","1","0","2","1","0"
"white",1295,"ClassD","0","0","0","0","0","0","0","2","0","1"
"draw",1292.5,"ClassD","0","0","1","0","0","0","0","1","0","0"
"white",1129,"Novice","0","0","6","1","0","0","0","3","1","0"
"black",1054.5,"Novice","2","1","7","1","1","0","2","7","1","1"
"black",1024.5,"Novice","1","2","7","1","2","2","1","7","1","2"
"black",1367,"ClassD","1","1","5","1","2","0","0","6","0","0"
"white",1013,"Novice","0","0","1","0","0","1","0","3","0","0"
"white",1082,"Novice","0","0","5","0","1","0","2","3","0","1"
"white",1069.5,"Novice","1","0","4","0","1","2","1","4","1","1"
"black",1016,"Novice","2","1","5","1","2","0","1","4","1","2"
"black",1104.5,"Novice","2","1","7","0","2","2","1","6","0","2"
"white",1068.5,"Novice","0","0","3","0","0","0","0","5","0","0"
"white",1030.5,"Novice","2","2","8","1","2","2","2","8","1","2"
"draw",1049,"Novice","0","0","3","1","0","0","0","2","1","0"
"white",1072,"Novice","1","1","7","1","1","1","2","7","1","2"
"white",1008,"Novice","1","1","7","1","2","2","0","8","1","2"
"white",1117,"Novice","1","0","5","0","1","0","0","3","1","1"
"black",1130.5,"Novice","2","1","6","0","2","1","1","7","0","2"
"white",1064,"Novice","0","0","0","0","0","0","1","2","0","0"
"black",1064,"Novice","1","2","6","1","2","1","1","7","1","2"
"black",1094.5,"Novice","1","1","6","1","2","1","2","6","0","2"
"white",1319,"ClassD","1","0","5","0","2","0","2","6","0","2"
"black",1086.5,"Novice","0","2","7","0","1","1","0","7","0","0"
"white",1013.5,"Novice","1","1","6","1","2","1","1","7","1","2"
"white",1046,"Novice","2","1","7","0","2","0","1","7","1","2"
"white",1035.5,"Novice","0","0","4","0","0","1","1","3","0","1"
"white",1237,"ClassD","0","0","0","0","0","0","1","4","0","1"
"white",985.5,"Novice","1","1","5","1","2","1","1","7","1","2"
"black",995.5,"Novice","2","1","6","0","2","1","1","4","0","1"
"white",922.5,"Novice","2","0","3","1","0","1","1","7","1","2"
"white",1011.5,"Novice","0","0","0","0","0","0","0","3","0","0"
"white",1267.5,"ClassD","0","0","1","0","1","1","0","4","1","0"
"black",1267.5,"ClassD","2","1","5","1","2","2","1","5","1","1"
"black",1298,"ClassD","2","1","5","1","2","1","2","6","0","2"
"black",1176.5,"Novice","0","0","2","0","0","0","0","2","0","0"
"black",1252,"ClassD","1","1","6","1","1","1","1","5","1","1"
"white",1282,"ClassD","0","0","3","0","0","0","1","5","0","1"
"black",1282,"ClassD","0","0","7","1","2","1","0","7","1","1"
"white",1294.5,"ClassD","1","0","6","0","2","1","0","5","0","2"
"white",1272,"ClassD","0","0","0","0","1","0","0","2","0","1"
"black",1335.5,"ClassD","0","0","3","0","0","0","0","0","0","0"
"white",1313.5,"ClassD","0","0","5","1","1","0","0","5","1","2"
"white",1194.5,"Novice","1","0","5","1","1","0","0","7","1","2"
"draw",1234,"ClassD","0","2","3","0","1","0","0","4","1","0"
"white",1184.5,"Novice","2","1","6","0","2","1","1","7","1","2"
"black",1116.5,"Novice","0","0","5","0","1","0","0","5","0","0"
"white",1326,"ClassD","0","0","0","0","0","0","0","5","0","0"
"white",1473.5,"ClassC","0","0","0","0","0","0","0","2","0","0"
"black",1439,"ClassC","0","0","6","0","1","0","0","6","0","1"
"black",1381.5,"ClassD","1","2","6","1","1","2","0","5","1","2"
"white",1280.5,"ClassD","0","0","3","0","1","1","0","4","0","1"
